layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.8.attention.self.query,FAIL,44.2336881783095,1.2587339878082275,4,8,8,"[44.23368835449219, 50.449337005615234, 66.91950225830078, 69.13528442382812, 78.29297637939453, 83.04621124267578, 86.65279388427734, 89.36134338378906]"
base_model.model.bert.encoder.layer.8.attention.self.value,FAIL,51.75326883181915,0.9648643732070923,4,8,8,"[51.75326919555664, 61.07646179199219, 64.32637786865234, 71.52610778808594, 80.14069366455078, 82.83252716064453, 83.88970947265625, 86.65380096435547]"
base_model.model.bert.encoder.layer.8.intermediate.dense,FAIL,68.5210519800257,0.34810009598731995,2,8,8,"[68.52104949951172, 71.49359893798828, 75.8634033203125, 79.73147583007812, 84.03446197509766, 84.9441146850586, 87.01994323730469, 88.62064361572266]"
base_model.model.bert.encoder.layer.8.output.dense,FAIL,47.81416554878398,1.0943752527236938,4,8,8,"[47.81416702270508, 58.49467468261719, 62.95329284667969, 74.12906646728516, 75.83027648925781, 81.0245361328125, 86.72213745117188, 87.98403930664062]"
base_model.model.bert.encoder.layer.9.attention.output.dense,FAIL,50.55930736867132,1.0478360652923584,4,8,8,"[50.55930709838867, 60.58757781982422, 62.93812942504883, 68.4861068725586, 76.89622497558594, 84.2706298828125, 89.13599395751953, 89.73990631103516]"
base_model.model.bert.encoder.layer.9.attention.self.key,FAIL,58.70958085995077,0.7083421349525452,4,8,8,"[58.7095832824707, 64.48700714111328, 68.29656219482422, 74.73934936523438, 80.12295532226562, 82.83078002929688, 87.55208587646484, 89.15514373779297]"
base_model.model.bert.encoder.layer.9.attention.self.query,FAIL,50.748018665249596,1.068273663520813,3,8,8,"[50.74802017211914, 55.569889068603516, 62.06200408935547, 75.46375274658203, 78.87158203125, 82.62081909179688, 84.70066833496094, 86.62611389160156]"
base_model.model.bert.encoder.layer.9.attention.self.value,FAIL,54.539842579211786,0.7221137285232544,3,8,8,"[54.53984451293945, 62.2726936340332, 73.95491027832031, 76.48991394042969, 82.40672302246094, 83.0348892211914, 85.65538787841797, 89.17134094238281]"
base_model.model.bert.encoder.layer.9.intermediate.dense,FAIL,70.34508814882346,0.21379312872886658,1,8,8,"[70.3450927734375, 77.23439025878906, 79.47622680664062, 84.20281219482422, 86.07728576660156, 87.35905456542969, 87.80299377441406, 89.97241973876953]"
base_model.model.bert.encoder.layer.9.output.dense,FAIL,59.71964972497977,0.6793893575668335,3,8,8,"[59.71965026855469, 62.75294494628906, 68.43366241455078, 78.15859985351562, 80.66475677490234, 84.36663055419922, 87.21734619140625, 89.8589096069336]"
base_model.model.bert.pooler.dense,PASS,79.37470751460704,0.0989389717578888,0,8,8,"[79.37471008300781, 80.97616577148438, 82.90707397460938, 83.79798889160156, 84.44070434570312, 87.04998016357422, 88.09809875488281, 89.02919006347656]"
